Time,Ticker,BuyRatio,SellRatio,LongShortRatio
2025-09-11T01:13:24+03:00,BTC,0.6337,0.3663,1.7300
2025-09-11T14:55:59+03:00,BTC,0.6416,0.3584,1.7902
2025-09-11T14:58:48+03:00,ETH,0.7272,0.2728,2.6657
2025-09-11T14:58:50+03:00,BTC,0.6416,0.3584,1.7902
2025-09-11T15:26:53+03:00,ETH,0.729,0.271,2.6900
2025-09-11T15:27:27+03:00,BTC,0.6415,0.3585,1.7894
2025-09-11T15:29:27+03:00,ETH,0.729,0.271,2.6900
2025-09-11T15:31:03+03:00,ETH,0.729,0.271,2.6900
2025-09-11T15:31:47+03:00,ETH,0.729,0.271,2.6900
2025-09-11T16:46:53+03:00,TON,0.8547,0.1453,5.8823
2025-09-11T16:49:25+03:00,ETH,0.7315,0.2685,2.7244
2025-09-11T16:49:47+03:00,TON,0.8547,0.1453,5.8823
