Date,Ticker,Price
31.10.2025,ETH,3761.44
30.10.2025,ETH,3761.44
29.10.2025,ETH,3902.99
28.10.2025,ETH,3979.11
27.10.2025,ETH,4119.81
26.10.2025,ETH,4158.49
25.10.2025,ETH,3953.78
24.10.2025,ETH,3935.23
23.10.2025,ETH,3857.07
22.10.2025,ETH,3805.92
21.10.2025,ETH,3872.45
20.10.2025,ETH,3979.7
19.10.2025,ETH,3982.79
18.10.2025,ETH,3889
17.10.2025,ETH,3831.38
16.10.2025,ETH,3894.47
15.10.2025,ETH,3985.14
14.10.2025,ETH,4124.73
13.10.2025,ETH,4241.25
12.10.2025,ETH,4152.25
11.10.2025,ETH,3747.07
10.10.2025,ETH,3822.97
09.10.2025,ETH,4369.05
08.10.2025,ETH,4526.15
07.10.2025,ETH,4447.57
06.10.2025,ETH,4683.76
05.10.2025,ETH,4514.72
04.10.2025,ETH,4487.49
03.10.2025,ETH,4513.16
02.10.2025,ETH,4484.04
01.10.2025,ETH,4348.06
